x,y,sound_file,class_label
3.84E+01,-2.07E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_10.wav,anthrophony
3.06E+01,-2.22E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_11.wav,anthrophony
4.10E+01,-2.56E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_12.wav,anthrophony
3.02E+01,-2.10E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_13.wav,anthrophony
1.11E+01,-6.80E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_14.wav,anthrophony
2.43E+01,-8.80E-01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_2.wav,anthrophony
4.23E+01,-2.10E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_3.wav,anthrophony
3.32E+01,-2.49E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_4.wav,anthrophony
3.66E+01,-2.45E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_5.wav,anthrophony
3.66E+01,-2.13E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_6.wav,anthrophony
2.92E+01,-2.15E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_7.wav,anthrophony
1.02E+01,-7.80E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_8.wav,anthrophony
7.73E+00,-1.13E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_9.wav,anthrophony
7.40E+00,-1.12E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_1.wav,anthrophony
3.80E+01,-2.42E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_10.wav,anthrophony
4.15E+01,-2.74E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_11.wav,anthrophony
2.82E+01,-2.00E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_12.wav,anthrophony
4.16E+01,-2.37E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_13.wav,anthrophony
3.86E+01,-2.66E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_14.wav,anthrophony
3.62E+01,-2.61E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_2.wav,anthrophony
9.49E+00,-8.48E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_3.wav,anthrophony
1.03E+01,-7.64E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_4.wav,anthrophony
3.82E+01,-2.27E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_5.wav,anthrophony
4.23E+01,-2.00E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_6.wav,anthrophony
4.04E+01,-2.46E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_7.wav,anthrophony
4.20E+01,-2.48E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_8.wav,anthrophony
3.35E+01,-2.26E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA104_9.wav,anthrophony
4.29E+01,-2.20E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_1.wav,anthrophony
3.96E+01,-2.29E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_10.wav,anthrophony
4.07E+01,-2.68E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_11.wav,anthrophony
2.88E+01,-9.14E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_12.wav,anthrophony
3.12E+01,-9.73E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_13.wav,anthrophony
4.14E+01,-2.26E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_14.wav,anthrophony
2.97E+01,-9.68E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_2.wav,anthrophony
3.11E+01,-1.90E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_3.wav,anthrophony
4.31E+01,-2.44E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_4.wav,anthrophony
4.27E+01,-2.40E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_5.wav,anthrophony
3.08E+01,-2.06E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_6.wav,anthrophony
3.93E+01,-2.16E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_7.wav,anthrophony
3.14E+01,-1.83E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_8.wav,anthrophony
3.62E+01,-2.34E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA105_9.wav,anthrophony
3.97E+01,-2.38E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_1.wav,anthrophony
3.70E+01,-2.35E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_10.wav,anthrophony
3.04E+01,-2.04E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_11.wav,anthrophony
3.80E+01,-2.33E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_12.wav,anthrophony
3.66E+01,-2.39E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_13.wav,anthrophony
2.76E+01,-1.78E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_14.wav,anthrophony
4.17E+01,-2.72E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_2.wav,anthrophony
4.11E+01,-2.21E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_3.wav,anthrophony
3.96E+01,-2.74E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_4.wav,anthrophony
3.19E+01,-2.33E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_5.wav,anthrophony
2.85E+01,-2.01E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_6.wav,anthrophony
3.75E+01,-1.99E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_7.wav,anthrophony
4.14E+01,-2.39E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_8.wav,anthrophony
4.27E+01,-2.15E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA106_9.wav,anthrophony
3.83E+01,-2.08E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_1.wav,anthrophony
4.05E+01,-2.13E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_10.wav,anthrophony
4.04E+01,-2.76E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_11.wav,anthrophony
2.89E+01,-2.04E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_12.wav,anthrophony
4.05E+01,-2.55E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_13.wav,anthrophony
3.94E+01,-2.60E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_14.wav,anthrophony
3.61E+01,-2.29E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_2.wav,anthrophony
4.02E+01,-2.22E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_3.wav,anthrophony
3.90E+01,-2.46E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_4.wav,anthrophony
4.21E+01,-2.81E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_5.wav,anthrophony
4.24E+01,-2.65E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_6.wav,anthrophony
4.18E+01,-2.61E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_7.wav,anthrophony
4.13E+01,-2.40E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_8.wav,anthrophony
3.97E+01,-2.78E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA107_9.wav,anthrophony
3.99E+01,-2.82E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_1.wav,anthrophony
4.17E+01,-2.53E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_10.wav,anthrophony
4.10E+01,-2.65E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_11.wav,anthrophony
4.04E+01,-2.35E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_12.wav,anthrophony
3.48E+01,-2.50E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_13.wav,anthrophony
3.92E+01,-2.47E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_14.wav,anthrophony
3.96E+01,-2.54E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_2.wav,anthrophony
3.88E+01,-2.65E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_3.wav,anthrophony
4.35E+01,-2.64E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_4.wav,anthrophony
4.25E+01,-2.54E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_5.wav,anthrophony
3.94E+01,-2.71E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_6.wav,anthrophony
4.11E+01,-2.80E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_7.wav,anthrophony
4.07E+01,-2.36E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_8.wav,anthrophony
4.12E+01,-2.46E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA108_9.wav,anthrophony
3.78E+01,-2.56E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_1.wav,anthrophony
1.09E+01,-8.87E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_10.wav,anthrophony
1.08E+01,-9.08E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_11.wav,anthrophony
3.26E+01,-8.59E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_12.wav,anthrophony
3.45E+01,-2.42E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_13.wav,anthrophony
3.35E+01,-2.37E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_14.wav,anthrophony
3.56E+01,-2.57E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_2.wav,anthrophony
3.74E+01,-2.56E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_3.wav,anthrophony
3.76E+01,-2.44E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_4.wav,anthrophony
2.82E+01,-2.01E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_5.wav,anthrophony
3.53E+01,-2.20E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_6.wav,anthrophony
3.04E+01,-8.76E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_7.wav,anthrophony
2.78E+01,-1.88E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_8.wav,anthrophony
3.88E+01,-2.00E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA109_9.wav,anthrophony
3.21E+01,-2.11E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_1.wav,anthrophony
4.24E+01,-2.72E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_10.wav,anthrophony
4.18E+01,-2.69E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_11.wav,anthrophony
4.33E+01,-2.77E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_12.wav,anthrophony
3.93E+01,-2.33E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_13.wav,anthrophony
3.99E+01,-2.56E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_14.wav,anthrophony
3.53E+01,-2.36E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_2.wav,anthrophony
3.90E+01,-1.97E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_3.wav,anthrophony
3.26E+01,-8.51E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_4.wav,anthrophony
3.48E+01,-1.84E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_5.wav,anthrophony
3.84E+01,-1.87E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_6.wav,anthrophony
3.89E+01,-2.57E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_7.wav,anthrophony
3.80E+01,-2.55E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_8.wav,anthrophony
3.88E+01,-2.53E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA110_9.wav,anthrophony
1.33E+01,1.23E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_1.wav,anthrophony
1.46E+01,1.04E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_10.wav,anthrophony
1.50E+01,1.05E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_11.wav,anthrophony
1.51E+01,1.14E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_12.wav,anthrophony
1.49E+01,1.12E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_13.wav,anthrophony
1.38E+01,1.19E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_14.wav,anthrophony
1.41E+01,1.09E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_2.wav,anthrophony
1.43E+01,1.11E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_3.wav,anthrophony
1.53E+01,9.94E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_4.wav,anthrophony
1.51E+01,9.88E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_5.wav,anthrophony
1.59E+01,1.04E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_6.wav,anthrophony
1.55E+01,1.12E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_7.wav,anthrophony
1.54E+01,1.19E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_8.wav,anthrophony
1.46E+01,1.15E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA41_9.wav,anthrophony
1.32E+01,1.15E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_1.wav,anthrophony
1.15E+01,1.21E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_10.wav,anthrophony
1.25E+01,1.15E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_11.wav,anthrophony
1.18E+01,1.33E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_12.wav,anthrophony
1.06E+01,1.39E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_13.wav,anthrophony
1.05E+01,1.40E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_14.wav,anthrophony
1.38E+01,1.14E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_2.wav,anthrophony
1.44E+01,1.03E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_3.wav,anthrophony
1.38E+01,1.09E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_4.wav,anthrophony
1.25E+01,1.28E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_5.wav,anthrophony
1.17E+01,1.37E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_6.wav,anthrophony
1.21E+01,1.24E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_7.wav,anthrophony
1.14E+01,1.32E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_8.wav,anthrophony
1.17E+01,1.30E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA42_9.wav,anthrophony
2.30E+01,9.02E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_1.wav,anthrophony
1.12E+01,9.72E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_10.wav,anthrophony
1.21E+01,1.11E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_11.wav,anthrophony
2.83E+01,9.04E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_12.wav,anthrophony
2.84E+01,9.36E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_13.wav,anthrophony
2.80E+01,9.59E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_14.wav,anthrophony
2.34E+01,8.30E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_2.wav,anthrophony
2.32E+01,8.58E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_3.wav,anthrophony
1.16E+01,-2.71E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_4.wav,anthrophony
1.11E+01,-2.57E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_5.wav,anthrophony
1.14E+01,-2.94E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_6.wav,anthrophony
-2.36E+00,-3.79E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_7.wav,anthrophony
1.14E+01,-2.96E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_8.wav,anthrophony
1.14E+01,9.94E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB0_9.wav,anthrophony
2.95E+01,6.74E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_1.wav,anthrophony
1.95E+01,-5.59E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_10.wav,anthrophony
3.27E+01,9.83E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_11.wav,anthrophony
2.95E+01,7.42E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_12.wav,anthrophony
3.10E+01,7.86E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_13.wav,anthrophony
2.73E+01,5.99E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_14.wav,anthrophony
3.14E+01,9.13E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_2.wav,anthrophony
1.92E+01,-5.45E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_3.wav,anthrophony
2.91E+01,7.82E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_4.wav,anthrophony
9.41E+00,-8.87E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_5.wav,anthrophony
1.12E+01,-6.62E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_6.wav,anthrophony
9.63E+00,-8.71E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_7.wav,anthrophony
3.68E+00,-1.33E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_8.wav,anthrophony
2.97E+01,6.43E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB10_9.wav,anthrophony
2.76E+01,6.28E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_1.wav,anthrophony
3.08E+01,8.79E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_10.wav,anthrophony
3.15E+01,9.55E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_11.wav,anthrophony
3.27E+01,8.18E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_12.wav,anthrophony
3.20E+01,8.68E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_13.wav,anthrophony
3.04E+01,8.49E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_14.wav,anthrophony
3.29E+01,8.65E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_2.wav,anthrophony
2.94E+01,8.13E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_3.wav,anthrophony
2.87E+01,7.13E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_4.wav,anthrophony
3.11E+01,8.25E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_5.wav,anthrophony
3.17E+01,8.50E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_6.wav,anthrophony
3.02E+01,7.93E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_7.wav,anthrophony
3.06E+01,9.09E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_8.wav,anthrophony
3.00E+01,8.04E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB11_9.wav,anthrophony
1.72E+01,-6.68E+00,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB20_1.wav,anthrophony
-4.25E-01,-1.91E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryB20_10.wav,anthrophony
